"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"85","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"30-34",30,34,32.5,NA,0,NA,NA,NA,NA,0,NA
"86","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"35-39",35,39,37.5,NA,0,NA,NA,NA,NA,0,NA
"87","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"40-44",40,44,42.5,NA,0,NA,NA,NA,NA,0,NA
"88","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"45-49",45,49,47.5,NA,0,NA,NA,NA,NA,0,NA
"89","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"50-54",50,54,52.5,NA,0,NA,NA,NA,NA,0,NA
"90","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"55-59",55,59,57.5,NA,0,NA,NA,NA,NA,0,NA
"91","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"60+",60,80,70.5,NA,0,NA,NA,NA,NA,0,NA
"92","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"0-1",0,0,0.5,NA,7,NA,2,0.29,NA,0.3,NA
"93","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"1-4",1,4,3,NA,166,NA,36,0.22,NA,7.6,NA
"94","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"5-14",5,14,10,NA,967,NA,175,0.18,NA,44.6,NA
"95","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"15-19",15,19,17.5,NA,313,NA,30,0.1,NA,14.4,NA
"96","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"20-29",20,29,25,NA,377,NA,28,0.07,NA,17.4,NA
"97","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"30-39",30,39,35,NA,263,NA,11,0.04,NA,12.1,NA
"98","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"40-49",40,49,45,NA,61,NA,4,0.07,NA,2.8,NA
"99","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"50-59",50,59,55,NA,15,NA,0,0,NA,0.7,NA
"100","Azerbaijan","339","Azerbaijan","Azerbaijan",NA,"NIS","1990-1996",1993,1990,"≥60",60,60,60.5,NA,1,NA,0,0,NA,0,NA
"101","Baltimore","69","Baltimore","USA",NA,"AMR","1944",1944,1940,"0-4",0,4,2.5,NA,27,NA,NA,NA,NA,NA,"Eller 1945"
"102","Baltimore","69","Baltimore","USA",NA,"AMR","1944",1944,1940,"5-9",5,9,7.5,NA,65,NA,NA,NA,NA,NA,"Eller 1945"
"103","Baltimore","69","Baltimore","USA",NA,"AMR","1944",1944,1940,"10-14",10,14,12.5,NA,21,NA,NA,NA,NA,NA,"Eller 1945"
"104","Baltimore","69","Baltimore","USA",NA,"AMR","1944",1944,1940,"≥15",15,70,43,NA,18,NA,NA,NA,NA,NA,"Eller 1945"
"105","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"0-4",0,4,2.5,NA,42,NA,4,0.1,NA,8.7,NA
"106","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"5-14",5,14,10,NA,210,NA,4,0.02,NA,43.3,NA
"107","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"15-19",15,19,17.5,NA,118,NA,0,0,NA,24.3,NA
"108","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"20-29",20,29,25,NA,161,NA,1,0.01,NA,33.2,NA
"109","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"30-39",30,39,35,NA,202,NA,5,0.02,NA,41.7,NA
"110","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"40-49",40,49,45,NA,179,NA,11,0.06,NA,36.9,NA
"111","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"50-59",50,59,55,NA,45,NA,1,0.02,NA,9.3,NA
"112","Belarus","338","Belarus","Belarus",NA,"NIS","1992-1997",1994,1990,"≥60",60,80,70.5,NA,8,NA,0,0,NA,1.6,NA
"113","Buri Ram, Thailand","15","Buri Ram, Thailand","Thailand",NA,"SEAR","1996",1996,1990,"<5",0,4,2.5,NA,26,NA,0,0,NA,26,NA
"114","Buri Ram, Thailand","15","Buri Ram, Thailand","Thailand",NA,"SEAR","1996",1996,1990,"5-9",5,9,7.5,NA,52,NA,0,0,NA,52,NA
"115","Buri Ram, Thailand","15","Buri Ram, Thailand","Thailand",NA,"SEAR","1996",1996,1990,"10-14",10,14,12.5,NA,19,NA,0,0,NA,19,NA
"116","Buri Ram, Thailand","15","Buri Ram, Thailand","Thailand",NA,"SEAR","1996",1996,1990,"≥15",15,80,48,NA,3,NA,0,0,NA,3,NA
"117","EpiBull 2001","269","Cali, Colombia","Colombia","Outbreak","AMR","2000",2000,2000,"0-4",0,4,2.5,"YES",2,NA,NA,NA,NA,NA,NA
"118","EpiBull 2001","269","Cali, Colombia","Colombia","Outbreak","AMR","2000",2000,2000,"5-9",5,9,7.5,"YES",4,NA,NA,NA,NA,NA,NA
"119","EpiBull 2001","269","Cali, Colombia","Colombia","Outbreak","AMR","2000",2000,2000,"10-14",10,14,12.5,"YES",1,NA,NA,NA,NA,NA,NA
"120","EpiBull 2001","269","Cali, Colombia","Colombia","Outbreak","AMR","2000",2000,2000,"15-19",15,19,17.5,"YES",1,NA,NA,NA,NA,NA,NA
"121","Charleston, SC","185","Charleston, SC","USA",NA,"AMR","1962-1964",1963,1960,"0-5",0,4,2.5,NA,19,NA,3,0.16,"-0.006-0.322",NA,NA
"122","Charleston, SC","185","Charleston, SC","USA",NA,"AMR","1962-1964",1963,1960,"5-10",5,9,7.5,NA,10,NA,0,0,"0-0",NA,NA
"123","Charleston, SC","185","Charleston, SC","USA",NA,"AMR","1962-1964",1963,1960,"≥10",10,80,45.5,NA,7,NA,1,0.14,"-0.116-0.402",NA,NA
"124","Chicago","225","Chicago","USA",NA,"AMR","1960-1970",1965,1960,"1-4",1,4,3,NA,20,3,NA,NA,NA,NA,"Nelson 1971"
"125","Chicago","225","Chicago","USA",NA,"AMR","1960-1970",1965,1960,"5-9",5,9,7.5,NA,25,9,NA,NA,NA,NA,"Nelson 1971"
"126","Chicago","225","Chicago","USA",NA,"AMR","1960-1970",1965,1960,"10-14",10,14,12.5,NA,14,9,NA,NA,NA,NA,"Nelson 1971"
"127","Chicago","225","Chicago","USA",NA,"AMR","1960-1970",1965,1960,"15-19",15,19,17.5,NA,2,6,NA,NA,NA,NA,"Nelson 1971"
"128","Chicago","225","Chicago","USA",NA,"AMR","1960-1970",1965,1960,"20-39",20,39,30,NA,11,5,NA,NA,NA,NA,"Nelson 1971"
