"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"328","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"329","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"0-4",0,4,2.5,NA,56,NA,NA,NA,NA,NA,NA
"330","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"5-9",5,9,7.5,NA,8,NA,NA,NA,NA,NA,NA
"331","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"10-14",10,14,12.5,NA,1,NA,NA,NA,NA,NA,NA
"332","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"15-19",15,19,17.5,NA,5,NA,NA,NA,NA,NA,NA
"333","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"20-24",20,24,22.5,NA,5,NA,NA,NA,NA,NA,NA
"334","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"25-34",25,34,30,NA,2,NA,NA,NA,NA,NA,NA
"335","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"336","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"337","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"55-64",55,64,60,NA,1,NA,NA,NA,NA,NA,NA
"338","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1946",1946,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"339","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"0-4",0,4,2.5,NA,38,NA,NA,NA,NA,NA,NA
"340","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"5-9",5,9,7.5,NA,6,NA,NA,NA,NA,NA,NA
"341","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"342","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"15-19",15,19,17.5,NA,4,NA,NA,NA,NA,NA,NA
"343","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"20-24",20,24,22.5,NA,1,NA,NA,NA,NA,NA,NA
"344","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"25-34",25,34,30,NA,1,NA,NA,NA,NA,NA,NA
"345","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"346","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"45-54",45,54,50,NA,1,NA,NA,NA,NA,NA,NA
"347","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"348","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1947",1947,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"349","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"0-4",0,4,2.5,NA,27,NA,NA,NA,NA,NA,NA
"350","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"5-9",5,9,7.5,NA,17,NA,NA,NA,NA,NA,NA
"351","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"352","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"15-19",15,19,17.5,NA,1,NA,NA,NA,NA,NA,NA
"353","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"20-24",20,24,22.5,NA,0,NA,NA,NA,NA,NA,NA
"354","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"25-34",25,34,30,NA,2,NA,NA,NA,NA,NA,NA
"355","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"356","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"45-54",45,54,50,NA,1,NA,NA,NA,NA,NA,NA
"357","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"358","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1948",1948,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"359","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"0-4",0,4,2.5,NA,39,NA,NA,NA,NA,NA,NA
"360","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"5-9",5,9,7.5,NA,10,NA,NA,NA,NA,NA,NA
"361","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"362","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"15-19",15,19,17.5,NA,0,NA,NA,NA,NA,NA,NA
"363","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"20-24",20,24,22.5,NA,0,NA,NA,NA,NA,NA,NA
"364","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"25-34",25,34,30,NA,2,NA,NA,NA,NA,NA,NA
"365","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"366","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"367","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"368","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1949",1949,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"369","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"0-4",0,4,2.5,NA,21,NA,NA,NA,NA,NA,NA
"370","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"5-9",5,9,7.5,NA,9,NA,NA,NA,NA,NA,NA
"371","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"10-14",10,14,12.5,NA,0,NA,NA,NA,NA,NA,NA
"372","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"15-19",15,19,17.5,NA,0,NA,NA,NA,NA,NA,NA
"373","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"20-24",20,24,22.5,NA,0,NA,NA,NA,NA,NA,NA
"374","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"25-34",25,34,30,NA,1,NA,NA,NA,NA,NA,NA
"375","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"35-44",35,44,40,NA,1,NA,NA,NA,NA,NA,NA
"376","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"377","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"378","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1950",1950,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"379","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"0-4",0,4,2.5,NA,30,NA,NA,NA,NA,NA,NA
"380","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"5-9",5,9,7.5,NA,15,NA,NA,NA,NA,NA,NA
"381","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"382","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"15-19",15,19,17.5,NA,0,NA,NA,NA,NA,NA,NA
"383","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"20-24",20,24,22.5,NA,1,NA,NA,NA,NA,NA,NA
"384","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"25-34",25,34,30,NA,2,NA,NA,NA,NA,NA,NA
"385","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"386","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"387","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"388","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1951",1951,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"389","Jiangling, China","350","Jiangling, China","China","Yes","SEAR","1988",1988,1980,"0-7y",0,7,4,NA,10,NA,NA,NA,NA,NA,"Youwng 1992"
"390","Jiangling, China","350","Jiangling, China","China","Yes","SEAR","1988",1988,1980,"8-15y",8,15,12,NA,12,NA,NA,NA,NA,NA,"Youwng 1992"
"391","Jiangling, China","350","Jiangling, China","China","Yes","SEAR","1988",1988,1980,"16-20y",16,20,18.5,NA,9,NA,NA,NA,NA,NA,"Youwng 1992"
"392","Jiangling, China","350","Jiangling, China","China","Yes","SEAR","1988",1988,1980,"21-30",21,30,26,NA,38,NA,NA,NA,NA,NA,"Youwng 1992"
"393","Jiangling, China","350","Jiangling, China","China","Yes","SEAR","1988",1988,1980,"31-40",31,40,36,NA,30,NA,NA,NA,NA,NA,"Youwng 1992"
"394","Jiangling, China","350","Jiangling, China","China","Yes","SEAR","1988",1988,1980,"41+",41,80,61,NA,6,NA,NA,NA,NA,NA,"Youwng 1992"
"395","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"2-3",2,2,2.5,NA,2,NA,2,1,"0.00",NA,"Khuri-Bulos 1980"
"396","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"3-4",3,3,3.5,NA,5,NA,1,0.19,"-0.153-0.537",NA,"Khuri-Bulos 1980"
"397","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"4-5",4,4,4.5,NA,5,NA,1,0.2,"-0.152-0.544",NA,"Khuri-Bulos 1980"
"398","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"5-6",5,5,5.5,NA,2,NA,1,0.5,"-0.195-1.187",NA,"Khuri-Bulos 1980"
"399","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"6-7",6,6,6.5,NA,4,NA,2,0.5,"0.007-0.985",NA,"Khuri-Bulos 1980"
"400","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"7-8",7,7,7.5,NA,2,NA,0,0,"0-0",NA,"Khuri-Bulos 1980"
"401","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"8-9",8,8,8.5,NA,2,NA,0,0,"0-0",NA,"Khuri-Bulos 1980"
"402","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"10-11",10,10,10.5,NA,1,NA,1,1,"0.00",NA,"Khuri-Bulos 1980"
"403","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"11-12",11,11,11.5,NA,1,NA,0,0,"0-0",NA,"Khuri-Bulos 1980"
"404","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"12-13",12,12,12.5,NA,1,NA,0,0,"0-0",NA,"Khuri-Bulos 1980"
"405","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"13-14",13,13,13.5,NA,1,NA,0,0,"0-0",NA,"Khuri-Bulos 1980"
"406","Khuri-Bulos 1980","233","Jordan","Jordan","Outbreak","EMR","1977",1978,1977,"25-26",25,25,25.5,NA,1,NA,0,0,"0-0",NA,"Khuri-Bulos 1980"
"407","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"0-4",0,4,2.5,NA,10,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"408","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"5-9",5,9,7.5,NA,12,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"409","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"10-14",10,14,12.5,NA,38,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"410","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"15-19",15,19,17.5,NA,19,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"411","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"20-24",20,24,22.5,NA,5,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"412","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"25-29",25,29,27.5,NA,7,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"413","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"30-34",30,34,32.5,NA,4,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"414","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"35-39",35,39,37.5,NA,3,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"415","Khuri-Bulos 1988","649","Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"40-44",40,44,42.5,NA,2,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"416","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1979-82",1980,1980,"0-4",0,4,2.5,NA,4,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"417","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1979-82",1980,1980,"5-9",5,9,7.5,NA,3,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"418","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1979-82",1980,1980,"10-14",10,14,12.5,NA,1,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"419","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1979-82",1980,1980,"≥15",15,80,48,NA,0,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"420","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"0-4",0,4,2.5,NA,3,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"421","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"5-9",5,9,7.5,NA,4,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"422","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"10-14",10,14,12.5,NA,5,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"423","Loevinsohn 1990",NA,"Jordan","Jordan","Outbreak","EMR","1982-83",1982,1980,"≥15",15,80,48,NA,23,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"424","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"0-4",0,4,2.5,NA,3,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"425","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"5-9",5,9,7.5,NA,4,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"426","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"10-14",10,14,12.5,NA,5,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"427","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"15-19",15,19,17.5,NA,6,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"428","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"20-24",20,24,22.5,NA,6,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"429","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"25-29",25,29,27.5,NA,5,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"430","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"30-34",30,34,32.5,NA,2,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"431","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"35-39",35,39,37.5,NA,3,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"432","Khuri-Bulos 1988","649","Jordan University Hospital","Jordan","Outbreak","EMR","1982-83",1982,1980,"40-44",40,44,42.5,NA,1,NA,NA,NA,NA,NA,"Khuri-Bulos 1988"
"433","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"0-1y",0,1,1,NA,50,NA,4,0.08,"0.005-0.155",NA,NA
"434","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"2-4y",2,4,3.5,NA,151,NA,12,0.08,"0.036-0.123",NA,NA
"435","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"5-14y",5,14,10,NA,580,NA,51,0.09,"0.065-0.111",NA,NA
"436","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"15-19y",15,19,17.5,NA,315,NA,13,0.04,"0.019-0.063",NA,NA
"437","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"20-29",20,29,25,NA,363,NA,9,0.02,"0.009-0.041",NA,NA
"438","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"30-39",30,39,35,NA,374,NA,17,0.05,"0.024-0.067",NA,NA
"439","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"40-49",40,49,45,NA,248,NA,18,0.07,"0.04-0.105",NA,NA
"440","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,"50-59",50,59,55,NA,135,NA,12,0.09,"0.041-0.137",NA,NA
"441","Kembabanova 2000","346","Kazakhstan","Kazakhstan","Outbreak","SEAR","1990-1996",1993,1990,">60",60,69,65,NA,17,NA,0,0,"0-0",NA,NA
"442","Salih 1981","130","Khartoum","Sudan","Outbreak","AFR","1978",1978,1970,"0-1",0,1,1,NA,1,NA,NA,0,"0-0",NA,"Salih 1981"
"443","Salih 1981","130","Khartoum","Sudan","Outbreak","AFR","1978",1978,1970,"2-5",3,5,4.5,NA,19,NA,NA,0,"0-0",NA,"Salih 1981"
"444","Salih 1981","130","Khartoum","Sudan","Outbreak","AFR","1978",1978,1970,"6-10",6,10,8.5,NA,6,NA,NA,0,"0-0",NA,"Salih 1981"
"445","Salih 1981","130","Khartoum","Sudan","Outbreak","AFR","1978",1978,1970,"11-15",11,15,13.5,NA,3,NA,NA,0,"0-0",NA,"Salih 1981"
"446","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"0-4y",0,4,2.5,NA,21,NA,8,0.38,"0.173-0.589",NA,"Besa et al. 2014"
"447","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"5-9y",5,9,7.5,NA,42,NA,10,0.24,"0.109-0.367",NA,"Besa et al. 2014"
"448","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"10-14y",10,14,12.5,NA,16,NA,2,0.13,"-0.037-0.287",NA,"Besa et al. 2014"
"449","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"15+",15,80,48,NA,19,NA,0,0,"0-0",NA,"Besa et al. 2014"
"450","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"0-4",0,4,2.5,"NO",21,NA,8,0.38,"0.173-0.589",NA,"Besa et al. 2014"
"451","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"5-9",5,9,7.5,"NO",42,NA,10,0.24,"0.109-0.367",NA,"Besa et al. 2014"
"452","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"10-14",10,14,12.5,"NO",16,NA,2,0.13,"-0.037-0.287",NA,"Besa et al. 2014"
"453","Besa et al. 2014","275","Kimba, Nigeria","Nigeria",NA,"AFR","2011",2011,2010,"15+",15,80,48,"NO",19,NA,0,0,"0-0",NA,"Besa et al. 2014"
"454","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"4",4,4,4.5,NA,1,NA,0,0,"0-0",NA,"Mahomed 2017"
"455","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"5",5,5,5.5,NA,1,NA,0,0,"0-0",NA,"Mahomed 2017"
"456","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"8",8,8,8.5,NA,3,NA,1,0.33,"-0.2-0.867",NA,"Mahomed 2017"
"457","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"9",9,9,9.5,NA,2,NA,0,0,"0-0",NA,"Mahomed 2017"
"458","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"11",11,11,11.5,NA,2,NA,0,0,"0-0",NA,"Mahomed 2017"
"459","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"13",13,13,13.5,NA,2,NA,1,0.5,"-0.193-1.193",NA,"Mahomed 2017"
"460","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"17",17,17,17.5,NA,1,NA,0,0,"0-0",NA,"Mahomed 2017"
"461","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"21",21,21,21.5,NA,1,NA,1,1,"1-1",NA,"Mahomed 2017"
"462","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"35",35,35,35.5,NA,1,NA,0,0,"0-0",NA,"Mahomed 2017"
"463","Mahomed 2017","60","KwaZula-Natal, South Africa","South Africa",NA,"AFR","2015",2015,2010,"41",41,41,41.5,NA,1,NA,1,1,"1-1",NA,"Mahomed 2017"
"464","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"0-4y",0,4,2.5,"YES",47,NA,NA,NA,NA,NA,NA
"465","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"5-9y",5,9,7.5,"YES",81,NA,NA,NA,NA,NA,NA
"466","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"10-14y",10,14,12.5,"YES",72,NA,NA,NA,NA,NA,NA
"467","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"15-19",15,19,17.5,"YES",123,NA,NA,NA,NA,NA,NA
"468","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"20-24",20,24,22.5,"YES",99,NA,NA,NA,NA,NA,NA
"469","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"25-29",25,29,27.5,"YES",68,NA,NA,NA,NA,NA,NA
"470","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"30-34",30,34,32.5,"YES",77,NA,NA,NA,NA,NA,NA
"471","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"35-39",35,39,37.5,"YES",39,NA,NA,NA,NA,NA,NA
"472","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"40-49",40,49,45,"YES",41,NA,NA,NA,NA,NA,NA
"473","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"50-59",50,59,55,"YES",17,NA,NA,NA,NA,NA,NA
"474","Kadirova 2000","120","Kyrgyz Republic","Kyrgyz Republic","Outbreak","EUR","1995",1995,1990,"60+",61,80,71,"YES",7,NA,NA,NA,NA,NA,NA
"475","Sein et al 2016","270","Lao","Lao",NA,"SEAR","2012",2012,2010,"<1",0,0,0.5,NA,1,NA,1,1,"1-1",NA,"Sein et al 2016"
"476","Sein et al 2016","270","Lao","Lao",NA,"SEAR","2012",2012,2010,"1-4y",1,4,3,NA,6,NA,2,0.33,"-0.044-0.711",NA,"Sein et al 2016"
"477","Sein et al 2016","270","Lao","Lao",NA,"SEAR","2012",2012,2010,"5-9y",5,9,7.5,NA,16,NA,6,0.38,"0.138-0.612",NA,"Sein et al 2016"
"478","Sein et al 2016","270","Lao","Lao",NA,"SEAR","2012",2012,2010,"10-14y",10,14,12.5,NA,20,NA,2,0.1,"-0.031-0.231",NA,"Sein et al 2016"
"479","Sein et al 2016","270","Lao","Lao",NA,"SEAR","2012",2012,2010,"15-19y",15,19,17.5,NA,7,NA,2,0.29,"-0.049-0.62",NA,"Sein et al 2016"
"480","Sein et al 2016","270","Lao","Lao",NA,"SEAR","2012",2012,2010,"20-24y",20,24,22.5,NA,5,NA,0,0,"0-0",NA,"Sein et al 2016"
"481","Sein et al 2016","270","Lao","Lao",NA,"SEAR","2012",2012,2010,"25+",25,80,53,NA,7,NA,0,0,"0-0",NA,"Sein et al 2016"
"482","Kantsone et al. 2000","494","Latvia","Latvia",NA,"NIS","1994-2014",2004,2000,"0–4",0,4,2.5,NA,84,NA,11,0.13,"0.059-0.203",NA,"Kantsone et al. 2000"
