"Study","Ref_index","Year","Treatment","Dose","TotalDose","DurationTreatment","Antitoxin","Case","carr.min","carr.max","Num.start","Num.convert","Percent converting ot culture negative","Percent.total.clear","Note"
"Weinstein 1947",705,"1947","none",NA,NA,NA,0,"Carrier",52,52,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,0,"Carrier",54,NA,2,2,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,0,"Carrier",97,NA,2,2,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",5,5,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",18,18,2,2,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",30,30,2,2,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",10,10,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",17,17,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",20,20,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",42,42,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",46,46,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",68,68,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,1,"Case",70,70,1,1,1,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",0,5,18,0,0,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",5,10,18,1,0.056,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",10,15,17,0,0,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",15,20,17,2,0.118,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",20,25,15,1,0.067,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",25,30,14,2,0.143,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",30,35,12,2,0.167,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",35,40,10,1,0.1,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",40,45,9,0,0,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",45,50,9,1,0.111,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",50,55,8,3,0.375,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",55,60,5,1,0.2,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",60,65,4,2,0.5,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",65,NA,2,2,1,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",0,5,24,0,0,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",5,10,24,3,0.125,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",10,15,21,2,0.095,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",15,20,19,1,0.053,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",20,25,18,4,0.222,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",25,30,14,4,0.286,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",30,35,10,2,0.2,NA,NA
"Karelitz 1947",535,"1944","none",NA,NA,NA,1,"Case",35,NA,8,8,1,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",0,5,457,65,0.142,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",5,10,392,90,0.23,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",10,15,302,70,0.232,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",15,20,232,38,0.164,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",20,25,194,38,0.196,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",25,30,156,38,0.244,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",30,35,118,26,0.22,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",35,40,92,22,0.239,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",40,45,70,18,0.257,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",45,50,52,11,0.212,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",50,55,41,10,0.244,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",55,60,31,7,0.226,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",60,65,24,5,0.208,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",65,70,19,4,0.211,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",70,75,15,4,0.267,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",75,80,11,0,0,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",80,85,11,3,0.273,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",85,90,8,2,0.25,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",90,95,6,1,0.167,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",95,100,5,3,0.6,NA,NA
"Hartley & Martin 1920",535,"1935","none",NA,NA,NA,1,"Case",100,NA,2,2,1,NA,NA
