"Ref_index","Study","Location","Year.Mid","Age.min","Age.max","n.Suscept","n.Basic","n.Full","n.NotFull","N.age","N","prct.Full1","prct.Suscept","prct.Basic","prct.Full"
369,NA,"Republic of Georgia",1995,30,39,45.7,8.6,0,70,70,NA,NA,0.652857142857143,0.122857142857143,0
369,NA,"Republic of Georgia",1995,40,49,23.1,1.5,4.3,64.7,69,NA,NA,0.334782608695652,0.0217391304347826,0.0623188405797101
369,NA,"Republic of Georgia",1995,50,59,34,10.7,2.1,44.9,47,NA,NA,0.723404255319149,0.227659574468085,0.0446808510638298
387,NA,"Miami, FL",1990,0,4,87,107,202,194,396,NA,NA,0.21969696969697,0.27020202020202,0.51010101010101
387,NA,"Miami, FL",1990,5,14,18,61,226,79,305,NA,NA,0.059016393442623,0.2,0.740983606557377
746,NA,"Iran",2007,10,14,13,33,84,46,130,NA,NA,0.1,0.253846153846154,0.646153846153846
746,NA,"Iran",2007,15,20,2,3,94,15,109,NA,NA,0.018348623853211,0.0275229357798165,0.862385321100917
746,NA,"Iran",2007,20,25,3,12,106,15,121,NA,NA,0.0247933884297521,0.0991735537190083,0.87603305785124
747,NA,"São Paulo, Brazil",2002,0,1,11,7,2,18,20,NA,NA,0.55,0.35,0.1
747,NA,"São Paulo, Brazil",2002,1,4,40,7,2,47,49,NA,NA,0.816326530612245,0.142857142857143,0.0408163265306122
747,NA,"São Paulo, Brazil",2002,5,9,52,2,0,54,54,NA,NA,0.962962962962963,0.037037037037037,0
747,NA,"São Paulo, Brazil",2002,10,14,33,2,0,35,35,NA,NA,0.942857142857143,0.0571428571428571,0
747,NA,"São Paulo, Brazil",2002,15,24,44,4,0,48,48,NA,NA,0.916666666666667,0.0833333333333333,0
747,NA,"São Paulo, Brazil",2002,25,39,52,12,1,64,65,NA,NA,0.8,0.184615384615385,0.0153846153846154
747,NA,"São Paulo, Brazil",2002,40,59,32,18,0,50,50,NA,NA,0.64,0.36,0
747,NA,"São Paulo, Brazil",2002,60,80,48,5,0,53,53,NA,NA,0.905660377358491,0.0943396226415094,0
479,NA,"Florence, Italy",1994,0,9,6,22,30,28,58,NA,NA,0.103448275862069,0.379310344827586,0.517241379310345
479,NA,"Florence, Italy",1994,10,19,7,25,31,32,63,NA,NA,0.111111111111111,0.396825396825397,0.492063492063492
479,NA,"Florence, Italy",1994,20,29,9,51,28,60,88,NA,NA,0.102272727272727,0.579545454545455,0.318181818181818
479,NA,"Florence, Italy",1994,30,39,20,38,23,58,81,NA,NA,0.246913580246914,0.469135802469136,0.283950617283951
479,NA,"Florence, Italy",1994,40,49,31,46,6,77,83,NA,NA,0.373493975903614,0.55421686746988,0.072289156626506
479,NA,"Florence, Italy",1994,50,59,43,36,6,79,85,NA,NA,0.505882352941176,0.423529411764706,0.0705882352941176
479,NA,"Florence, Italy",1994,60,69,46,35,9,81,90,NA,NA,0.511111111111111,0.388888888888889,0.1
479,NA,"Florence, Italy",1994,70,80,43,48,2,91,93,NA,NA,0.462365591397849,0.516129032258065,0.021505376344086
407,NA,"Israel",1990,17,19,9,99,80,108,188,NA,NA,0.0478723404255319,0.526595744680851,0.425531914893617
407,NA,"Israel",1990,20,24,3,119,129,122,251,NA,NA,0.0119521912350598,0.474103585657371,0.51394422310757
407,NA,"Israel",1990,25,29,8,162,108,170,278,NA,NA,0.0287769784172662,0.58273381294964,0.388489208633094
407,NA,"Israel",1990,30,34,13,128,35,141,176,NA,NA,0.0738636363636364,0.727272727272727,0.198863636363636
407,NA,"Israel",1990,35,49,18,72,9,90,99,NA,NA,0.181818181818182,0.727272727272727,0.0909090909090909
416,NA,"Poland",1986,10,19,11,11,56,-47,9,NA,NA,0.0122222222222222,0.0122222222222222,0.0622222222222222
416,NA,"Poland",1986,20,29,51,26,23,127,150,NA,NA,0.34,0.173333333333333,0.153333333333333
416,NA,"Poland",1986,30,39,49,40,11,85,96,NA,NA,0.510416666666667,0.416666666666667,0.114583333333333
416,NA,"Poland",1986,40,49,64,27,9,89,98,NA,NA,0.653061224489796,0.275510204081633,0.0918367346938776
416,NA,"Poland",1986,50,59,59,26,13,93,106,NA,NA,0.556603773584906,0.245283018867925,0.122641509433962
416,NA,"Poland",1986,60,90,46,41,9,35,44,NA,NA,0.0104545454545455,0.931818181818182,0.204545454545455
418,NA,"Syria",2016,18,25,NA,NA,NA,NA,91,NA,91,NA,NA,0.91
