"Ref","Location","Country","Region","Decade","Year.Mid","Age.min","Age.max","Mean.Age","Cases","Deaths","CFR","Age.years"
"197","United States","United States","AMR",1960,1964,5,19,12.5,1494,121,0.0809906291834003,15
"197","United States","United States","AMR",1960,1964,20,80,50.5,314,14,0.0445859872611465,61
"113","University College Hospital","UK","EUR",1890,1891,0,0,1,3,2,0.666666666666667,1
"113","University College Hospital","UK","EUR",1890,1891,1,1,1.5,6,3,0.5,1
"113","University College Hospital","UK","EUR",1890,1891,2,2,2.5,11,5,0.454545454545455,1
"113","University College Hospital","UK","EUR",1890,1891,3,3,3.5,8,3,0.375,1
"113","University College Hospital","UK","EUR",1890,1891,4,4,4.5,11,5,0.454545454545455,1
"113","University College Hospital","UK","EUR",1890,1891,5,5,5.5,5,3,0.6,1
"113","University College Hospital","UK","EUR",1890,1891,6,9,8,4,1,0.25,4
"113","University College Hospital","UK","EUR",1890,1891,10,14,12.5,8,0,0,5
"113","University College Hospital","UK","EUR",1890,1891,15,80,48,6,0,0,66
"113","University College Hospital","UK","EUR",1890,1892,0,0,1,3,2,0.666666666666667,1
"113","University College Hospital","UK","EUR",1890,1892,1,1,1.5,9,4,0.444444444444444,1
"113","University College Hospital","UK","EUR",1890,1892,2,2,2.5,6,2,0.333333333333333,1
"113","University College Hospital","UK","EUR",1890,1892,3,3,3.5,5,3,0.6,1
"113","University College Hospital","UK","EUR",1890,1892,4,4,4.5,10,4,0.4,1
"113","University College Hospital","UK","EUR",1890,1892,5,5,5.5,6,2,0.333333333333333,1
"113","University College Hospital","UK","EUR",1890,1892,6,9,8,10,2,0.2,4
"113","University College Hospital","UK","EUR",1890,1892,10,14,12.5,3,0,0,5
"113","University College Hospital","UK","EUR",1890,1892,15,80,48,8,1,0.125,66
"113","University College Hospital","UK","EUR",1890,1893,0,0,1,3,3,1,1
"113","University College Hospital","UK","EUR",1890,1893,1,1,1.5,9,6,0.666666666666667,1
"113","University College Hospital","UK","EUR",1890,1893,2,2,2.5,22,9,0.409090909090909,1
"113","University College Hospital","UK","EUR",1890,1893,3,3,3.5,12,6,0.5,1
"113","University College Hospital","UK","EUR",1890,1893,4,4,4.5,12,6,0.5,1
"113","University College Hospital","UK","EUR",1890,1893,5,5,5.5,6,2,0.333333333333333,1
"113","University College Hospital","UK","EUR",1890,1893,6,9,8,15,5,0.333333333333333,4
"113","University College Hospital","UK","EUR",1890,1893,10,14,12.5,5,0,0,5
"113","University College Hospital","UK","EUR",1890,1893,15,80,48,21,2,0.0952380952380952,66
"113","University College Hospital","UK","EUR",1890,1894,0,0,1,2,1,0.5,1
"113","University College Hospital","UK","EUR",1890,1894,1,1,1.5,6,4,0.666666666666667,1
"113","University College Hospital","UK","EUR",1890,1894,2,2,2.5,6,6,1,1
"113","University College Hospital","UK","EUR",1890,1894,3,3,3.5,8,4,0.5,1
"113","University College Hospital","UK","EUR",1890,1894,4,4,4.5,12,3,0.25,1
"113","University College Hospital","UK","EUR",1890,1894,5,5,5.5,7,3,0.428571428571429,1
"113","University College Hospital","UK","EUR",1890,1894,6,9,8,10,3,0.3,4
"113","University College Hospital","UK","EUR",1890,1894,10,14,12.5,6,0,0,5
"113","University College Hospital","UK","EUR",1890,1895,15,80,48,7,1,0.142857142857143,66
"113","University College Hospital","UK","EUR",1890,1895,0,0,1,1,0,0,1
"113","University College Hospital","UK","EUR",1890,1895,1,1,1.5,17,7,0.411764705882353,1
"113","University College Hospital","UK","EUR",1890,1895,2,2,2.5,13,4,0.307692307692308,1
"113","University College Hospital","UK","EUR",1890,1895,3,3,3.5,7,3,0.428571428571429,1
"113","University College Hospital","UK","EUR",1890,1895,4,4,4.5,10,3,0.3,1
