"row","case","Study","Location","Year","Dose","Age.min","Age.max","Cases_total","Controls","Population","Dose013","AgeGroup3"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
8,1,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,1,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,1,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,1,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,1,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
8,0,"Bisgard2000","Russia",1993,"2",3,4,5,23,"Russia 1993","Partial","0-4y"
9,1,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,1,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
9,0,"Bisgard2000","Russia",1993,"2",6,14,2,29,"Russia 1993","Partial","5-19y"
